PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,4400.36,4400.36,22367.85,,,,9,9,999,20147,T9,TransMeridian Airlines,T9,TransMeridian Airlines,06885,S,4,1,1997,4
,,,,,,,,,,5609.95,5609.95,37651.42,,,,9,9,999,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1994,4
,,,,,,,,,,13259.00,13259.00,51835.00,,,,9,9,999,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,06840,S,1,1,2001,4
,,,,,,,,,,29290.92,29290.92,52491.20,,,,9,9,999,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1996,4
,,,,,,,,,0.20,618.42,618.62,3397.33,,,,9,9,999,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1994,4
,,,,,,,,,2.26,664.90,667.16,2998.25,,,,9,9,999,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1994,2
,,,,,,,,,11.07,923.95,935.02,4373.93,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1998,2
,,,,,,,,,21.63,391.58,413.21,5269.97,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1998,4
,,,,,,,,,21.70,1602.40,1624.10,12830.20,,,,9,9,999,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06086,S,2,2,1993,2
,,,,,,,,,23.32,443.23,466.55,1900.69,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,1999,2
,,,,,,,,,23.85,1102.64,1126.49,7841.23,,,,9,9,999,20102,SFQ,Pacific International Airlines Inc.,SFQ,Pacific International Airlines Inc.,06824,S,1,1,1996,2
,,,,,,,,,25.65,1160.21,1185.86,12943.80,,,,9,9,999,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1996,2
,,,,,,,,,31.81,345.28,377.10,6758.08,,,,9,9,999,20168,W9,Eastwind Airlines Inc.,W9,Eastwind Airlines Inc.,06290,D,4,1,1996,4
,,,,,,,,,34.83,5199.30,5234.14,8303.55,,,,9,9,999,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1995,4
,,,,,,,,,68.41,115.71,184.12,2190.74,,,,9,9,999,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2004,2
,,,,,,,,,107.05,,107.05,3442.94,,,,9,9,999,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",01162,D,4,1,2012,4
,,,,,,,,,113.94,301.49,415.43,2053.70,,,,9,9,999,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2009,2
,,,,,,,,,123.48,548.88,672.35,2351.11,,,,9,9,999,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1993,4
,,,,,,,,,136.63,,136.63,8510.57,,,,9,9,999,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1992,2
,,,,,,,,,169.53,517.86,687.38,2208.43,,,,9,9,999,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1991,4
,,,,,,,,,205.14,,205.14,6143.70,,,,9,9,999,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1991,4
,,,,,,,,,233.48,414.88,648.37,5079.03,,,,9,9,999,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2004,4
,,,,,,,,,240.92,608.29,849.21,3704.30,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,1999,4
,,,,,,,,,277.11,295.97,573.08,3765.89,,,,9,9,999,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2005,2
,,,,,,,,,277.78,3771.25,4049.03,7634.70,,,,9,9,999,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,06911 (1),S,4,1,1995,2
,,,,,,,,,281.73,480.78,762.51,3760.01,,,,9,9,999,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2009,2
,,,,,,,,,297.37,,297.37,9356.01,,,,9,9,999,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1991,2
,,,,,,,,,330.03,620.59,950.62,4389.29,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,2000,2
,,,,,,,,,336.86,543.73,880.58,5645.14,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2013,4
,,,,,,,,,351.51,909.38,1260.89,6340.81,,,,9,9,999,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",01154,S,4,1,2009,4
,,,,,,,,,360.99,675.65,1036.64,4923.84,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2015,3
,,,,,,,,,364.64,528.02,892.66,5767.87,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2013,3
,,,,,,,,,365.62,733.64,1099.26,4945.30,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2015,2
,,,,,,,,,375.22,553.12,928.34,5639.40,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2013,2
,,,,,,,,,375.58,498.60,874.18,5866.89,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2012,1
,,,,,,,,,377.82,607.20,985.02,6081.06,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2014,3
,,,,,,,,,379.66,298.30,677.95,6888.36,,,,9,9,999,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2005,4
,,,,,,,,,384.67,513.41,898.08,6370.39,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2012,4
,,,,,,,,,390.55,661.63,1052.18,6006.46,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2014,4
,,,,,,,,,390.78,555.49,946.27,6257.84,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2013,1
,,,,,,,,,392.10,538.89,930.99,5895.33,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2014,1
,,,,,,,,,393.03,1237.66,1630.68,10535.80,,,,9,9,999,20284,TCQ,Express.Net Airlines,TCQ,Trans Continental Airlines,06895,S,4,1,1998,2
,,,,,,,,,395.95,903.52,1299.47,4893.99,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2016,1
,,,,,,,,,397.96,694.50,1092.46,5505.86,,,,9,9,999,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,16070,I,1,1,2015,1
