NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-625.95,-625.95,,,4234.03,,,4234.03,2808.10,1266.10,135.22,467.56,183.00,,4859.98,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2019,2
-625.38,-625.38,,,1798.43,,,1798.43,1319.68,608.21,68.23,427.69,,,2423.81,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2009,2
-625.14,-1121.87,,,7149.31,,,7149.31,5783.07,1678.96,663.97,145.19,,,8271.18,-68.60,565.33,,,20020,V9,Eagle Airlines,V9,Eagle Airlines,06279,S,1,1,1994,4
-622.00,-1033.39,,,2815.29,,,2815.29,1469.66,249.44,1374.74,,754.84,,3848.68,-5.66,,-417.05,,20102,SFQ,Pacific International Airlines Inc.,SFQ,Sportsflight Airways Inc.,06824,S,1,1,1994,4
-606.97,-506.76,,508.37,12260.49,,,12768.86,8021.48,1805.90,3448.24,0.00,,0.00,13275.62,-0.21,-100.00,,,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06077,S,4,1,2013,2
-606.14,-641.33,610.81,,3642.73,,60.80,4314.33,1779.85,2213.82,719.55,242.44,,,4955.66,,35.19,,,20097,OI,Prestige Airways,OI,Prestige Airways,06753,D,1,1,1996,2
-602.14,-784.33,,,3588.51,,,3588.51,2116.57,1330.57,763.54,162.16,,,4372.84,0.25,-0.68,,182.62,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1998,2
-600.58,-996.12,,,2659.50,,,2659.50,1536.28,931.55,838.25,349.54,,,3655.62,-12.47,,-408.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,1993,4
-599.89,-764.90,,,5392.82,,,5392.82,3228.76,1350.90,971.23,606.85,,,6157.72,11.76,-6.04,-159.30,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2021,4
-598.96,-598.96,,,4907.63,,,4907.63,3028.51,1053.97,161.39,941.72,321.00,,5506.58,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2016,2
-589.72,-33.47,750.00,,9361.16,,21.92,10133.08,4015.24,2032.36,3663.31,455.65,,,10166.55,-576.34,20.59,0.50,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,2001,2
-574.30,-534.43,,,4031.21,,150.00,4181.21,1649.67,930.26,1863.57,26.99,,245.14,4715.63,-29.18,-10.70,,,20146,SPQ,Sun Pacific International,SPQ,Sun Pacific International,06796,S,4,1,1996,2
-568.17,-618.11,,,3733.55,,,3733.55,2732.35,1073.40,505.53,40.37,,,4351.66,,49.94,,,20400,PT (1),Capital Cargo International,CCQ,Capital Cargo International,06164,S,4,1,1997,2
-562.85,-349.98,,1816.35,431.33,,77.00,2324.67,743.53,433.58,1170.20,327.34,,,2674.65,-211.36,-1.51,,,20169,L2,Lynden Air Cargo Airlines,IH,Lynden Air Cargo Airlines,06699,D,4,1,1997,2
-559.16,228.56,0.00,0.00,811.26,0.00,5806.59,6617.85,3787.95,771.55,1817.58,12.21,0.00,0.00,6389.29,-178.81,-608.91,0.00,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC",01130,D,4,1,2011,2
-558.78,-521.28,,,5031.24,,,5031.24,3592.31,879.02,1017.85,63.34,,,5552.53,-37.52,0.03,,,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2001,4
-558.47,-506.03,,,4582.55,,,4582.55,4100.99,443.45,460.04,84.10,,,5088.57,-57.36,4.91,,,20019,5J (1),Private Jet Expeditions,PJQ,Private Jet Expeditions,06761,S,2,2,1991,4
-554.26,-736.73,,,8481.56,,,8481.56,4385.69,3013.12,1206.21,613.28,,,9218.29,-115.76,298.23,,,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1993,2
-529.24,-478.51,,,,10159.40,137.96,10297.37,8373.05,,2393.34,9.49,,,10775.88,-22.00,-28.73,,,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1993,4
-529.09,-529.09,,,3236.80,,,3236.80,2227.49,131.80,573.08,,833.52,,3765.89,,,,,20372,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,01141,S,4,1,2005,2
-526.55,-526.55,8526.33,,,,26.28,8552.61,3988.22,1579.27,2357.85,1153.83,,,9079.16,,,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06144,D,4,1,1995,2
-521.46,-742.46,,,7510.18,,,7510.18,3681.35,2463.58,1549.03,223.36,335.32,,8252.64,112.05,108.95,,,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,4
-516.31,-471.01,,,5672.69,,,5672.69,3281.12,1753.52,759.66,349.40,,,6143.70,-45.58,0.29,,,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1991,4
-514.81,-396.67,,,3725.69,,,3725.69,1665.05,812.81,767.02,306.41,571.07,,4122.36,-1.93,-23.21,93.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,1994,2
-505.18,-371.42,,,12874.41,,32.76,12907.17,5573.91,1267.62,5560.93,,568.91,307.24,13278.59,-227.70,93.95,,,20129,1I,Sky Trek International Airlines,1I,Sky Trek International Airlines,06799,S,1,1,1999,2
-502.75,-502.75,,,5614.45,,,5614.45,2615.52,1776.34,172.48,1261.86,291.00,,6117.20,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2011,4
-496.45,-858.26,,,4743.89,,30.40,4774.29,2629.12,1784.20,453.36,765.87,,,5632.55,-6.69,-0.50,-369.00,,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,06798,D,4,1,2006,2
-491.67,-458.34,,4241.20,4092.63,,,8333.83,4655.73,2617.09,1257.76,261.59,,,8792.17,-33.33,,,,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1995,4
-489.46,-377.22,,9438.40,2980.67,,260.64,12679.70,7925.67,445.25,4617.23,68.77,,,13056.92,-109.19,-3.05,,,20149,PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,06746,S,4,1,1996,4
-489.41,65.67,0.00,0.00,703.96,0.00,5342.32,6046.29,3492.10,732.42,1373.11,382.99,0.00,0.00,5980.62,-179.46,-375.62,0.00,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC",01130,D,4,1,2010,4
-482.72,-1292.87,,,1970.21,,75.82,2046.04,1542.09,715.24,741.62,188.14,151.81,,3338.90,0.90,809.25,,,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1999,2
-469.81,-284.46,,,9289.77,,,9289.77,5510.46,2562.88,1272.84,228.04,,,9574.23,-116.99,-68.37,,,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1990,4
