AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2650.27,480.08,116.13,176.55,772.76,95.93,46.40,41.64,183.97,361.21,102.57,300.78,764.56,377.15,0.16,144.66,521.97,,,252.38,252.38,648.08,2.01,5.61,63.56,6266.15,325.31,75.69,401.00,3552.33,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,2002,1
2675.32,278.98,0.21,2.06,281.26,24.49,31.10,0.00,55.59,876.67,524.73,71.49,1472.89,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,781.43,0.00,1.13,0.28,5429.46,116.72,44.64,161.36,2753.87,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2015,1
2692.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.64,0.00,86.64,0.00,0.00,0.00,0.00,0.00,0.00,1.08,1.08,1046.84,3.31,0.00,0.00,3928.45,0.00,97.61,97.61,1235.48,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,16917,I,3,3,2023,2
2727.53,0.00,0.00,0.00,0.00,1044.47,3.71,30.44,1078.63,0.00,-794.25,0.00,-794.25,0.00,102.25,0.00,102.25,0.00,0.00,0.00,0.00,46.39,0.00,0.00,83.50,3248.63,0.00,4.58,4.58,437.60,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2023,2
2754.00,,,,,57.00,126.00,110.00,293.00,,87.00,,87.00,,,19.00,19.00,,,,,390.00,1.00,3.00,,3693.00,114.00,32.00,146.00,939.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1995,1
2785.00,248.00,80.00,123.00,451.00,72.00,307.00,77.00,456.00,15.00,,,15.00,,,96.00,96.00,,,8.00,8.00,300.00,,11.00,,4132.00,,10.00,10.00,1347.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,1993,4
2787.35,375.24,245.34,150.78,771.36,19.10,52.03,121.70,192.83,280.16,62.37,624.48,967.01,68.92,,173.62,242.55,19.51,,36.87,56.38,241.83,3.70,121.82,,5515.99,65.22,65.93,131.16,2728.63,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,16048,L,3,3,1995,3
2789.00,,,,,38.00,117.00,109.00,264.00,,94.00,,94.00,,,18.00,18.00,,,,,361.00,1.00,3.00,,3672.00,106.00,36.00,142.00,883.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1995,2
2832.63,1.25,7.71,13.57,22.53,-42.62,0.00,-58.07,-100.69,406.64,22.58,287.51,716.73,0.00,0.00,835.01,835.01,11.30,0.00,168.70,180.00,72.16,0.00,0.00,0.00,4585.15,26.78,0.00,26.78,1752.52,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,3,3,2020,2
2853.82,232.56,6.10,41.08,279.74,385.06,23.27,2.25,410.58,-31.05,3.88,342.38,315.21,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,618.70,1.23,0.00,0.00,4603.36,109.49,13.97,123.45,1749.55,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,16820,L,3,3,2012,3
2871.31,233.68,2.83,41.66,278.16,352.75,22.48,1.25,376.48,12.39,1.92,298.87,313.18,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,534.56,1.24,0.00,0.00,4499.85,110.33,14.27,124.60,1628.55,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,16820,L,3,3,2012,2
