SALARIES_MGT,SALARIES_FLIGHT,SALARIES_MAINT,SALARIES_TRAFFIC,SALARIES_OTHER,SALARIES,BENEFITS_PERSONNEL,BENEFITS_PENSIONS,BENEFITS_PAYROLL,BENEFITS,SALARIES_BENEFITS,AIRCRAFT_FUEL,MAINT_MATERIAL,FOOD,OTHER_MATERIALS,MATERIALS_TOTAL,ADVERTISING,COMMUNICATION,INSURANCE,OUTSIDE_EQUIP,COMMISIONS_PAX,COMMISSIONS_CARGO,OTHER_SERVICES,SERVICES_TOTAL,LANDING_FEES,RENTALS,DEPRECIATION,AMORTIZATION,OTHER,TRANS_EXPENSE,OP_EXPENSE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
32.0,5568.0,365.0,3938.0,1490.0,11393.0,1293.0,1947.0,803.0,4043.0,15436.0,10565.0,397.0,5428.0,1053.0,17443.0,1639.0,1649.0,67.0,46.0,40828.0,417.0,2285.0,46931.0,1602.0,531.0,5565.0,1232.0,429.0,504.0,89673.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1992,3
33.0,5495.0,1250.0,5021.0,1626.0,13425.0,527.0,3167.0,785.0,4479.0,17904.0,7011.0,2311.0,2308.0,700.0,12330.0,621.0,1703.0,314.0,545.0,5324.0,23.0,2664.0,11194.0,1352.0,5016.0,2128.0,1348.0,454.0,1292.0,53018.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1994,3
33.0,6018.0,1658.0,679.0,2027.0,10415.0,1303.0,2534.0,777.0,4614.0,15029.0,10039.0,1798.0,1071.0,312.0,13220.0,1550.0,150.0,109.0,1181.0,5957.0,490.0,2590.0,12027.0,506.0,523.0,3691.0,84.0,506.0,1937.0,47523.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,1991,1
33.0,7550.0,1285.0,5630.0,1606.0,16104.0,1013.0,3873.0,1551.0,6437.0,22541.0,6638.0,2116.0,2466.0,782.0,12002.0,725.0,1825.0,311.0,492.0,5203.0,172.0,2376.0,11104.0,1118.0,5283.0,2296.0,1370.0,532.0,252.0,56498.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1994,1
35.0,8258.0,1399.0,5535.0,2605.0,17832.0,1691.0,9385.0,1465.0,12541.0,30373.0,6258.0,2533.0,2239.0,718.0,11748.0,859.0,1725.0,343.0,453.0,5218.0,162.0,2649.0,11409.0,909.0,6674.0,4873.0,1386.0,1001.0,195.0,68568.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1994,2
35.43,9592.14,3387.37,2849.75,3065.61,18930.3,679.28,4133.85,1033.11,5846.24,24776.53,20860.76,683.27,414.18,175.59,22133.8,73.71,426.18,257.69,2052.54,101.82,0.0,3211.61,6123.54,335.6,5857.93,4432.85,328.28,4573.63,14.03,68576.2,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,2020,2
36.0,4350.0,460.0,1997.0,852.0,7695.0,529.0,2411.0,574.0,3514.0,11209.0,13763.0,434.0,108.0,161.0,14466.0,389.0,58.0,141.0,2179.0,98.0,2.0,2419.0,5286.0,1030.0,2022.0,1691.0,71.0,465.0,22.0,36262.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2012,2
37.51,563.97,102.28,174.8,99.59,978.14,16.41,131.38,65.94,213.73,1191.87,73.42,131.66,61.71,46.01,312.8,115.75,203.26,6.66,0.62,50.49,0.0,411.12,787.89,410.07,747.44,80.26,24.49,698.55,744.73,4998.09,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2011,3
38.11,729.07,117.69,259.94,140.11,1284.92,16.46,100.76,50.56,167.78,1452.7,1901.52,121.23,97.69,107.43,2227.86,112.01,92.94,6.71,0.07,38.53,0.0,679.3,929.55,487.41,900.68,79.9,25.03,1218.24,27.99,7349.36,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2011,4
39.0,7602.0,1343.0,5115.0,2227.0,16326.0,1051.0,3735.0,956.0,5742.0,22068.0,8127.0,1609.0,2783.0,666.0,13185.0,1469.0,2082.0,199.0,667.0,5072.0,57.0,2522.0,12068.0,979.0,5338.0,2925.0,119.0,849.0,100.0,57631.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1992,4
39.37,435.65,48.03,311.59,323.07,1157.71,37.91,380.21,82.0,500.12,1657.83,704.84,31.13,93.8,43.51,873.28,68.38,36.53,79.99,276.76,31.15,0.02,410.47,903.3,75.89,912.37,49.17,3.62,13.28,136.45,4625.18,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2.0,2.0,2003,4
39.91,3907.57,533.46,1058.59,963.87,6502.8,233.83,1046.99,394.21,1675.03,8177.83,13729.25,849.2,84.96,239.13,14902.55,299.51,333.54,366.78,478.81,21.95,0.0,3640.98,5141.56,876.76,6951.01,239.33,0.0,1778.99,0.0,38068.04,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2010,4
40.0,4804.0,536.0,2254.0,1006.0,8640.0,606.0,2317.0,502.0,3425.0,12065.0,14398.0,499.0,122.0,114.0,15133.0,671.0,69.0,154.0,2133.0,92.0,1.0,2618.0,5738.0,1064.0,2162.0,2121.0,78.0,649.0,27.0,39037.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2012,4
40.0,5268.0,499.0,4490.0,1742.0,12039.0,1008.0,3158.0,869.0,5035.0,17074.0,9456.0,256.0,4497.0,515.0,14724.0,1376.0,1017.0,35.0,76.0,30251.0,521.0,832.0,34108.0,1604.0,599.0,6240.0,1253.0,301.0,302.0,76205.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1993,1
40.0,6611.0,1283.0,5731.0,2064.0,15729.0,1103.0,3573.0,899.0,5575.0,21304.0,8268.0,1978.0,2933.0,913.0,14092.0,2035.0,1498.0,148.0,516.0,5429.0,45.0,2940.0,12611.0,795.0,4337.0,2206.0,246.0,549.0,96.0,56236.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1991,4
